dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.275396,95.715317,0.000008,0.000800,0.040000,2.000000,6.282072
0.020000,0.275393,95.715317,0.000010,0.000124,-0.033806,-3.690289,6.282072
0.020000,0.275387,95.715317,0.000016,0.000279,0.007743,2.077427,6.282073
0.020000,0.275378,95.715317,0.000026,0.000496,0.010840,0.154854,6.282074
0.020000,0.275362,95.715317,0.000041,0.000774,0.013937,0.154852,6.282076
0.020000,0.275340,95.715317,0.000064,0.001115,0.017034,0.154849,6.282078
0.020000,0.275309,95.715317,0.000094,0.001518,0.020131,0.154844,6.282081
0.020000,0.275270,95.715317,0.000134,0.001982,0.023228,0.154838,6.282086
0.020000,0.275220,95.715317,0.000184,0.002509,0.026324,0.154829,6.282091
0.020000,0.275158,95.715318,0.000246,0.003097,0.029420,0.154818,6.282098
0.020000,0.275083,95.715318,0.000321,0.003747,0.032517,0.154804,6.282107
0.020000,0.274994,95.715318,0.000410,0.004460,0.035612,0.154787,6.282116
0.020000,0.274889,95.715318,0.000515,0.005234,0.038708,0.154767,6.282128
0.020000,0.274767,95.715318,0.000636,0.006070,0.041802,0.154743,6.282142
0.020000,0.274628,95.715318,0.000775,0.006968,0.044897,0.154715,6.282157
0.020000,0.274470,95.715318,0.000934,0.007928,0.047990,0.154683,6.282175
0.020000,0.274291,95.715318,0.001113,0.008949,0.051083,0.154646,6.282195
0.020000,0.274090,95.715319,0.001314,0.010033,0.054175,0.154604,6.282217
0.020000,0.273866,95.715319,0.001537,0.011178,0.057267,0.154557,6.282242
0.020000,0.273619,95.715319,0.001785,0.012385,0.060357,0.154505,6.282269
0.020000,0.273346,95.715319,0.002058,0.013654,0.063446,0.154446,6.282300
0.020000,0.273046,95.715320,0.002358,0.014985,0.066533,0.154382,6.282333
0.020000,0.272718,95.715320,0.002685,0.016377,0.069619,0.154311,6.282369
0.020000,0.272362,95.715320,0.003042,0.017831,0.072704,0.154233,6.282409
0.020000,0.271975,95.715320,0.003429,0.019347,0.075787,0.154148,6.282452
0.020000,0.271556,95.715321,0.003847,0.020924,0.078868,0.154056,6.282498
0.020000,0.271105,95.715321,0.004299,0.022563,0.081947,0.153956,6.282549
0.020000,0.270620,95.715321,0.004784,0.024264,0.085024,0.153848,6.282602
0.020000,0.270099,95.715322,0.005304,0.026026,0.088099,0.153732,6.282660
0.020000,0.269542,95.715322,0.005861,0.027849,0.091171,0.153607,6.282722
0.020000,0.268948,95.715322,0.006456,0.029734,0.094241,0.153473,6.282788
0.020000,0.268314,95.715322,0.007090,0.031680,0.097307,0.153330,6.282859
0.020000,0.267640,95.715323,0.007763,0.033688,0.100371,0.153177,6.282934
